,0
PC457,9.012603e-07
PC458,8.836115e-07
PC459,8.7768206e-07
PC460,8.5741556e-07
PC461,8.487402e-07
PC462,8.4516904e-07
PC463,8.413689e-07
PC464,8.2935657e-07
PC465,8.2370394e-07
PC466,8.095916e-07
PC467,8.0151784e-07
PC468,7.943332e-07
PC469,7.8275207e-07
PC470,7.779008e-07
PC471,7.742566e-07
PC472,7.646272e-07
PC473,7.6214786e-07
PC474,7.51398e-07
PC475,7.3574375e-07
PC476,7.3459734e-07
PC477,7.276828e-07
PC478,7.230635e-07
PC479,7.09598e-07
PC480,6.98651e-07
PC481,6.926074e-07
PC482,6.849255e-07
PC483,6.71566e-07
PC484,6.6284053e-07
PC485,6.587605e-07
PC486,6.530231e-07
PC487,6.50277e-07
PC488,6.406079e-07
PC489,6.3396635e-07
PC490,6.3085764e-07
PC491,6.2292116e-07
PC492,6.197659e-07
PC493,6.1493563e-07
PC494,6.0799744e-07
PC495,5.9818706e-07
PC496,5.944745e-07
PC497,5.8560533e-07
PC498,5.807928e-07
PC499,5.7472835e-07
PC500,5.6974557e-07
PC501,5.6604637e-07
PC502,5.605264e-07
PC503,5.575018e-07
PC504,5.469221e-07
PC505,5.420479e-07
PC506,5.36487e-07
PC507,5.340542e-07
PC508,5.29393e-07
PC509,5.2652086e-07
PC510,5.2125193e-07
PC511,5.153184e-07
PC512,5.1233496e-07
PC513,5.046274e-07
PC514,4.974903e-07
PC515,4.924284e-07
PC516,4.8978995e-07
PC517,4.796949e-07
PC518,4.785339e-07
PC519,4.767345e-07
PC520,4.6871392e-07
PC521,4.6630504e-07
PC522,4.6245637e-07
PC523,4.5788042e-07
PC524,4.5318566e-07
PC525,4.4365177e-07
PC526,4.394522e-07
PC527,4.3434412e-07
PC528,4.3006136e-07
PC529,4.2967707e-07
PC530,4.257686e-07
PC531,4.2360793e-07
PC532,4.189055e-07
PC533,4.1350884e-07
PC534,4.1121814e-07
PC535,4.076091e-07
PC536,3.996425e-07
PC537,3.9810575e-07
PC538,3.9246535e-07
PC539,3.885266e-07
PC540,3.8094058e-07
PC541,3.785413e-07
PC542,3.7671975e-07
PC543,3.74614e-07
PC544,3.6800327e-07
PC545,3.6693024e-07
PC546,3.604451e-07
PC547,3.5817501e-07
PC548,3.5470637e-07
PC549,3.5047745e-07
PC550,3.490104e-07
PC551,3.4824413e-07
PC552,3.4231527e-07
PC553,3.4097857e-07
PC554,3.3700343e-07
PC555,3.2884753e-07
PC556,3.2860936e-07
PC557,3.2389758e-07
PC558,3.2113016e-07
PC559,3.1804126e-07
PC560,3.137192e-07
PC561,3.109309e-07
PC562,3.052109e-07
PC563,3.017165e-07
PC564,2.9975195e-07
PC565,2.98473e-07
PC566,2.9529107e-07
PC567,2.9279258e-07
PC568,2.911583e-07
PC569,2.863157e-07
PC570,2.841961e-07
PC571,2.803777e-07
PC572,2.7982193e-07
PC573,2.7414472e-07
PC574,2.7296443e-07
PC575,2.7029128e-07
PC576,2.6578357e-07
PC577,2.6464326e-07
PC578,2.609169e-07
PC579,2.581271e-07
PC580,2.5573718e-07
PC581,2.5370613e-07
PC582,2.5094235e-07
PC583,2.5025437e-07
PC584,2.4672613e-07
PC585,2.4292245e-07
PC586,2.4218744e-07
PC587,2.402766e-07
PC588,2.3734746e-07
PC589,2.3438214e-07
PC590,2.3257816e-07
PC591,2.3101195e-07
PC592,2.2924226e-07
PC593,2.2731818e-07
PC594,2.236368e-07
PC595,2.2296538e-07
PC596,2.2115844e-07
PC597,2.171206e-07
PC598,2.1479336e-07
PC599,2.1246221e-07
PC600,2.118252e-07
PC601,2.0811635e-07
PC602,2.0632999e-07
PC603,2.0535634e-07
PC604,2.0379895e-07
PC605,2.0114096e-07
PC606,1.9909803e-07
PC607,1.958887e-07
PC608,1.948799e-07
PC609,1.9233862e-07
PC610,1.9076988e-07
PC611,1.8831147e-07
PC612,1.8645311e-07
PC613,1.8514486e-07
PC614,1.8356006e-07
PC615,1.8014494e-07
PC616,1.7803652e-07
PC617,1.7692103e-07
PC618,1.7539875e-07
PC619,1.7306022e-07
PC620,1.7224973e-07
PC621,1.7017584e-07
PC622,1.6821558e-07
PC623,1.6656347e-07
PC624,1.6563189e-07
PC625,1.6305306e-07
PC626,1.6158621e-07
PC627,1.5809957e-07
PC628,1.5694872e-07
PC629,1.5614351e-07
PC630,1.5476577e-07
PC631,1.5319745e-07
PC632,1.5209808e-07
PC633,1.5033861e-07
PC634,1.482581e-07
PC635,1.466014e-07
PC636,1.4493328e-07
PC637,1.4444589e-07
PC638,1.427457e-07
PC639,1.4055385e-07
PC640,1.3866418e-07
PC641,1.3714273e-07
PC642,1.3466995e-07
PC643,1.3341283e-07
PC644,1.3110446e-07
PC645,1.2992497e-07
PC646,1.2864217e-07
PC647,1.2830108e-07
PC648,1.2554725e-07
PC649,1.2489858e-07
PC650,1.2393683e-07
PC651,1.2310525e-07
PC652,1.2186109e-07
PC653,1.2007052e-07
PC654,1.1914727e-07
PC655,1.163778e-07
PC656,1.1614965e-07
PC657,1.1563129e-07
PC658,1.1386705e-07
PC659,1.1300353e-07
PC660,1.1260162e-07
PC661,1.1071446e-07
PC662,1.1053225e-07
PC663,1.094663e-07
PC664,1.0829241e-07
PC665,1.0601783e-07
PC666,1.0564993e-07
PC667,1.04012656e-07
PC668,1.0349211e-07
PC669,1.021629e-07
PC670,1.0136231e-07
PC671,9.9780145e-08
PC672,9.890398e-08
PC673,9.7378084e-08
PC674,9.701148e-08
PC675,9.6644975e-08
PC676,9.452101e-08
PC677,9.342782e-08
PC678,9.1634924e-08
PC679,9.023159e-08
PC680,8.9130126e-08
PC681,8.862306e-08
PC682,8.69165e-08
PC683,8.668145e-08
PC684,8.4382386e-08
PC685,8.3417085e-08
PC686,8.2991676e-08
PC687,8.227838e-08
PC688,8.1546176e-08
PC689,8.06881e-08
PC690,7.947093e-08
PC691,7.896429e-08
PC692,7.7504595e-08
PC693,7.7182946e-08
PC694,7.6578075e-08
PC695,7.584772e-08
PC696,7.513049e-08
PC697,7.351328e-08
PC698,7.2797604e-08
PC699,7.256344e-08
PC700,7.1155746e-08
PC701,7.0555984e-08
PC702,6.920314e-08
PC703,6.892882e-08
PC704,6.87998e-08
PC705,6.683978e-08
PC706,6.5870886e-08
PC707,6.489387e-08
PC708,6.457951e-08
PC709,6.414202e-08
PC710,6.359128e-08
PC711,6.173252e-08
PC712,6.0877426e-08
PC713,6.0334244e-08
PC714,5.942109e-08
PC715,5.8430448e-08
PC716,5.765553e-08
PC717,5.604435e-08
PC718,5.554887e-08
PC719,5.5177964e-08
PC720,5.5043927e-08
PC721,5.3286097e-08
PC722,5.257426e-08
PC723,5.176419e-08
PC724,5.1245976e-08
PC725,5.023551e-08
PC726,4.975967e-08
PC727,4.8369014e-08
PC728,4.727761e-08
PC729,4.6297544e-08
PC730,4.612941e-08
PC731,4.587068e-08
PC732,4.5077932e-08
PC733,4.4378602e-08
PC734,4.3774577e-08
PC735,4.3302197e-08
PC736,4.2871815e-08
PC737,4.1515605e-08
PC738,4.1365528e-08
PC739,4.1300968e-08
PC740,4.0148084e-08
PC741,3.9884355e-08
PC742,3.902722e-08
PC743,3.8495436e-08
PC744,3.749731e-08
PC745,3.6921584e-08
PC746,3.6245943e-08
PC747,3.551333e-08
PC748,3.50587e-08
PC749,3.4459703e-08
PC750,3.382646e-08
PC751,3.307159e-08
PC752,3.2266723e-08
PC753,3.1684024e-08
PC754,3.1298494e-08
PC755,3.0931083e-08
PC756,2.9678779e-08
PC757,2.8438619e-08
PC758,2.7864912e-08
PC759,2.7250293e-08
PC760,2.6103576e-08
PC761,2.5700926e-08
PC762,2.539323e-08
PC763,2.4345177e-08
PC764,2.3694113e-08
PC765,2.2656732e-08
PC766,2.1972363e-08
PC767,2.1397083e-08
PC768,5.7810644e-12
